"['Orientation', '_', '_']"
"['BSC\xa0498', 'Biological Sciences Honors Project Part 2 (S allowed)', '0']"
"['GN\xa0496', 'Genetics Research Experience (S allowed)', '0']"
"['GN\xa0497', 'Genetics Teaching Experience (S allowed)', '0']"
"['MB\xa0210', 'Phage Hunters', '0']"
"['MB\xa0211', 'Phage Genomics', '0']"
"['Restricted Electives', '_', '_']"
"['Select 9 credit hours from the following list of courses. Courses must come from two or more prefixes with a maximum of 3 credit hours at the 200 level.1', '9', '_']"
"['Restricted Electives1', '_', '_']"
"['GEP Courses', '_', '_']"
"['ENG\xa0101', 'Academic Writing and Research1', '4']"
"['GEP Humanities', '6', '4']"
"['GEP Social Sciences', '6', '4']"
"['GEP Health and Exercise Studies', '2', '4']"
"['GEP Interdisciplinary Perspectives', '3', '4']"
"['GEP Elective', '3', '4']"
"['GEP Foundations of American Democracy(verify requirement)', '_', '_']"
"['GEP Global Knowledge(verify requirement)', '_', '_']"
"['World Language Proficiency(verify requirement)', '_', '_']"
"['Free Electives', '_', '_']"
"['Free Electives (12 Hr S/U Lmt)', '9', '_']"
